id;predict
7;0
13;0
18;1
22;0
23;0
24;0
30;0
37;1
38;1
40;0
54;1
57;0
68;1
80;1
84;1
91;1
93;1
100;1
102;0
107;1
108;1
109;1
130;1
149;0
186;1
188;0
191;0
196;0
204;1
205;0
207;1
213;1
214;1
215;0
221;1
258;0
264;0
273;1
279;0
285;1
303;1
304;1
305;0
306;1
311;0
332;0
339;1
344;1
369;1
402;0
405;0
410;0
415;1
418;1
422;1
427;0
435;1
439;0
441;0
444;1
458;0
460;0
461;1
463;1
466;0
467;0
468;0
478;0
479;1
483;1
497;1
499;1
501;1
505;0
506;0
513;0
534;1
551;0
578;1
586;1
596;1
629;0
631;0
633;1
649;0
659;1
667;0
672;0
677;0
679;1
684;0
697;0
701;1
709;0
717;0
726;1
735;1
740;1
743;1
746;0
757;0
765;1
779;0
784;0
790;1
796;1
797;1
800;0
801;1
807;0
809;1
811;0
815;1
833;1
848;1
852;0
854;0
869;1
875;0
880;1
888;0
897;1
908;0
911;1
920;1
926;1
933;1
942;1
947;0
952;1
967;0
969;0
971;0
977;0
979;1
1000;0
1021;1
1042;0
1043;1
1045;1
1047;1
1049;0
1051;1
1060;1
1063;0
1078;0
1079;0
1083;0
1105;1
1116;0
1120;1
1143;0
1154;0
1156;0
1162;0
1170;0
1190;0
1196;0
1240;1
1248;0
1249;1
1268;1
1273;0
1281;0
1293;1
1318;0
1328;1
1345;0
1370;1
1374;0
1378;0
1380;1
1383;0
1386;0
1389;0
1394;1
1408;1
1454;0
1459;0
1463;1
1466;1
1468;1
1476;1
1477;1
1484;1
1490;1
1497;0
1504;0
1508;0
1519;1
1520;0
1551;0
1552;1
1566;1
1568;1
1576;0
1589;0
1593;1
1594;1
1609;1
1616;1
1633;0
1634;0
1645;0
1647;0
1653;1
1661;1
1687;0
1689;1
1699;0
1701;0
1703;1
1704;1
1735;1
1736;0
1746;0
1759;0
1761;0
1765;0
1778;1
1779;0
1789;0
1793;1
1795;1
1799;0
1809;0
1817;0
1818;0
1833;1
1838;1
1843;0
1866;1
1868;0
1872;0
1887;1
1891;1
1905;0
1927;1
1944;0
1970;0
1986;1
1988;1
1992;0
1995;1
2020;0
2026;0
2030;1
2033;0
2034;0
2036;0
2039;0
2046;1
2048;0
2067;0
2077;1
2088;0
2092;1
2095;1
2112;0
2117;0
2121;1
2122;0
2126;0
2127;1
2153;1
2176;0
2182;1
2196;1
2203;1
2204;1
2217;0
2219;1
2236;0
2238;1
2239;0
2242;0
2250;1
2253;0
2260;1
2265;0
2289;0
2292;1
2298;0
2329;0
2330;1
2331;1
2336;1
2342;0
2360;0
2399;0
2403;0
2404;0
2405;1
2419;1
2422;0
2429;0
2431;1
2440;1
2452;1
2455;1
2456;0
2468;0
2469;1
2473;0
2474;1
2490;0
2506;0
2508;0
2511;0
2544;1
2566;0
2573;1
2602;1
2604;1
2615;1
2621;1
2629;0
2633;1
2650;0
2651;1
2654;0
2668;0
2702;1
2709;1
2714;1
2718;0
2727;1
2730;0
2739;0
2740;1
2751;1
2787;1
2805;1
2810;1
2811;0
2813;0
2836;0
2837;0
2845;1
2857;0
2888;0
2892;1
2899;0
2905;1
2914;0
2917;1
2923;1
2944;1
2948;0
2971;0
2973;1
2989;0
2997;1
3008;0
3015;1
3026;0
3038;0
3043;1
3046;0
3051;1
3058;0
3065;1
3072;1
3089;0
3100;0
3112;1
3122;1
3125;1
3135;1
3144;1
3154;0
3157;0
3168;1
3173;1
3185;0
3189;0
3192;0
3214;1
3250;0
3271;0
3280;1
3284;1
3287;1
3305;0
3309;0
3311;1
3318;1
3324;0
3342;1
3346;1
3351;1
3357;0
3370;1
3399;1
3403;1
3415;0
3427;1
3433;1
3436;0
3439;0
3445;0
3448;1
3452;1
3455;0
3472;0
3478;0
3481;0
3502;1
3505;1
3510;1
3516;1
3518;1
3519;0
3536;1
3540;1
3551;0
3557;1
3562;0
3570;0
3572;1
3575;1
3581;0
3582;1
3599;0
3600;1
3605;0
3610;1
3632;0
3633;1
3642;0
3646;0
3664;1
3699;0
3719;1
3726;0
3731;1
3736;0
3757;0
3758;0
3759;0
3786;0
3802;1
3821;1
3823;0
3842;0
3844;1
3847;0
3851;1
3856;1
3863;1
3864;0
3870;0
3879;0
3888;1
3894;1
3895;1
3907;1
3914;0
3915;0
3924;1
3925;1
3931;0
3937;1
3938;0
3948;0
3956;1
3960;1
3966;0
3982;1
3983;1
3989;1
3995;0
3998;1
4014;0
4019;0
4020;1
4023;0
4030;1
4037;1
4041;1
4061;1
4064;1
4068;0
4069;1
4072;1
4090;0
4098;1
4104;0
4110;0
4120;0
4121;1
4137;1
4141;1
4151;1
4157;1
4160;0
4171;0
4174;1
4177;1
4181;1
4188;1
4194;1
4195;0
4202;0
4205;0
4222;1
4231;0
4232;1
4241;1
4244;1
4261;1
4262;1
4265;1
4286;1
4296;0
4298;0
4308;1
4319;0
4326;1
4348;1
4351;0
4354;1
4359;1
4360;0
4362;0
4363;0
4365;0
4379;0
4385;0
4409;0
4422;0
4465;0
4467;1
4471;1
4475;1
4480;0
4484;1
4491;1
4506;0
4512;1
4513;1
4514;0
4516;1
4532;0
4543;0
4544;1
4551;1
4552;0
4555;1
4579;1
4586;1
4593;0
4615;0
4618;1
4624;0
4632;0
4634;0
4654;0
4656;1
4664;1
4672;0
4674;0
4676;1
4708;1
4714;1
4729;1
4739;0
4741;0
4745;0
4746;0
4762;1
4771;1
4779;1
4785;0
4789;1
4795;0
4815;0
4821;0
4822;1
4832;1
4834;1
4837;1
4859;1
4872;0
4873;1
4877;0
4908;0
4912;0
4923;0
4932;0
4933;0
4952;0
4966;1
4968;0
4970;0
5004;0
5006;0
5014;1
5029;1
5031;0
5045;1
5046;1
5071;1
5072;0
5078;0
5086;1
5088;1
5090;0
5102;0
5107;0
5109;1
5117;1
5125;0
5135;1
5136;1
5169;0
5188;1
5193;0
5196;1
5198;1
5202;0
5218;1
5219;1
5230;1
5252;0
5255;0
5274;0
5279;1
5285;1
5292;1
5295;1
5310;0
5319;0
5321;1
5334;0
5363;1
5378;0
5383;0
5384;0
5388;1
5389;1
5393;1
5413;1
5424;1
5431;1
5444;0
5448;0
5454;0
5464;1
5469;1
5471;1
5502;0
5504;0
5512;1
5513;0
5514;0
5518;1
5529;1
5536;0
5537;1
5539;0
5548;0
5584;0
5586;0
5609;1
5619;0
5620;0
5622;1
5628;1
5629;0
5648;1
5669;1
5672;1
5678;1
5686;1
5691;1
5706;1
5724;0
5726;0
5727;1
5738;1
5740;1
5744;0
5758;0
5783;1
5787;0
5789;0
5790;0
5809;1
5823;1
